"","Actb","Amacr","Calm1","Cox6b1","Cox7c","Dcx","Erh","Gapdh","Golph3","H3f3a","Hes1","Hes5","Map2","Mtmr12","Nefl","Nefm","Nes","Neurod1","Notch1","Pax6","Ppia","Rpl18","Sox1","Sox2","Sub1","Taf1","Taf2","Tars","Tbr1","Tubb3","Vim","Zfr"
"Actb",0,-0.00976374719340302,-0.00140576089760155,-0.00150701164184042,-0.00125091748974095,0.060808428558043,-0.000808767953578085,0.0045583001184304,0.00465907436824967,-0.000549375335826199,-0.0327594918699172,-0.0726588037677036,0.0395142714156067,0.00738984171776767,0.0314876022470336,0.00824737601793965,-0.0221127537078095,0.057236411398808,-0.0218350306320219,-0.0124669524052762,-0.00031482729711193,-0.000330340150475167,-0.03263781425645,-0.0577748398714939,0.00486569641022543,0.0288916624626956,-0.00250576906247497,-0.0193843706139279,0.0259547099733467,0.141991923688887,-0.0369239481855775,-0.0337335375050788
"Amacr",-0.00976374719340302,0,0.00474525077007046,0.00453176451838075,0.00387539413016078,-0.00582312246472493,-0.0221083642523393,0.0132032873716373,0.0180507864034411,0.00175240533328503,0.0330836592329191,-0.0101718301926444,-0.010663157892225,0.00841393933909948,0.0319050367463969,0.043240362832594,0.014193234253197,-0.0190557263888047,0.00174401530460231,-0.0288862617998351,0.00100229873619088,0.000956162860104912,-0.00730086898601566,-0.0121629230422282,-0.0235705894435751,-0.0342932268427986,-0.0253530589218573,-0.0371038359699908,0.0162421546430884,-0.00691209923000663,0.00362288678184977,0.0277579399371716
"Calm1",-0.00140576089760155,0.00474525077007046,0,-0.000740980089221404,-0.000610600975232973,-0.000154054145102124,-0.000397886163851121,0.00570829394204797,0.0200195534120024,-0.00026537868601134,-0.0283794602588845,-0.0534410963810001,0.000742212597163875,0.00288423280423486,0.0170308021976657,0.0125426294980954,-0.0143745121516366,0.0315770977619747,0.0151712602605042,-0.0606538400467103,-0.000151114354305393,-0.000159877813045008,0.0044068922448785,-0.0312309508509912,-0.00792921371385832,0.0143248695517648,0.0159678535549285,0.0158186269320367,0.00214338450321242,0.0460629072384028,-0.0104815422035881,-0.00780195380042316
"Cox6b1",-0.00150701164184042,0.00453176451838075,-0.000740980089221404,0,-0.000683624992291937,-0.0193855234297341,-0.000448166875010778,-0.0183642005726624,0.0191973408039287,-0.000294194151608583,-0.00567046135963326,0.0152871875884015,-0.00053080386877384,0.00275026011081858,-0.00650149204456366,-0.010898426678716,0.00821700305096531,-0.00372351218334321,0.0147112206422703,0.0253572553417098,-0.000166819499807233,-0.000182037097189343,0.00423033984548526,-0.00863707968149667,-0.00853161301572521,-0.0322394950634355,0.0152955728581807,-0.00785988951360155,-0.0211725450515648,-0.000647349437485875,0.0234313110317459,-0.00903215604047274
"Cox7c",-0.00125091748974095,0.00387539413016078,-0.000610600975232973,-0.000683624992291937,0,-0.0340393514632297,-0.000366407035288514,0.00810029709405343,-0.00699789067317708,-0.000241239432939487,0.0147637790349429,0.0129995879353218,0.00647000000569407,0.0023523719744437,0.0140864293640846,0.0103040906602102,0.00701936004782998,-0.0126742841906166,0.0125466531861504,0.0230006230815698,-0.000136495092808969,-0.000146743008403785,0.00361303712702347,0.0122301216617725,-0.00708270870688391,-0.011602963560997,0.0130848301345589,0.0129501910832979,-0.0260648725577788,0.00348302133798507,-0.00376433142563142,0.00638486202653049
"Dcx",0.060808428558043,-0.00582312246472493,-0.000154054145102124,-0.0193855234297341,-0.0340393514632297,0,0.0502582299196804,-0.0240328049907808,-0.0488489990154786,0.00892672045944972,-0.436195630054823,-0.333679358479366,0.275916442539957,-0.0264956403678165,0.174867460276914,0.124441917142929,-0.209833928886279,0.332734611876103,-0.259414699862273,-0.342081505421549,-0.0101599168050242,-0.0104386996606243,-0.162602147300949,-0.245547536199976,-0.0720320739818548,0.00574709917789948,-0.0101900444526954,-0.0509620476459465,0.0943773580988743,0.468055919509579,-0.19463532003451,0.00578084578469962
"Erh",-0.000808767953578085,-0.0221083642523393,-0.000397886163851121,-0.000448166875010778,-0.000366407035288514,0.0502582299196804,0,-0.00993328503785287,0.0103196833373995,-0.000156171567351641,-0.015463000715162,0.00821296797967845,-0.000436192554891974,0.0014671056302764,0.00887043858684837,0.00646226930659218,0.00439526882467096,0.00953839168469414,0.00789586925800824,-0.0104987107822582,-8.72581248366649e-05,-9.25942610772289e-05,0.00225879723498949,0.00770238023675855,0.0200444498558602,0.00735206874825371,0.00820665235131842,-0.0166156201328305,-0.0367534542274518,-0.0128679944901916,-0.00799685211193285,-0.0058590447870729
"Gapdh",0.0045583001184304,0.0132032873716373,0.00570829394204797,-0.0183642005726624,0.00810029709405343,-0.0240328049907807,-0.00993328503785287,0,0.0115463487551939,-0.00685513291128322,0.0993703514085298,0.104091485069666,-0.0304356398357057,0.0374543478930294,0.0293302866044712,0.0406921813631858,0.00356236452866824,-0.0282142486703576,0.0797076657122212,0.0566667335871837,-0.00387008984384213,-0.00407405239529761,0.042192154192194,0.072223282740061,0.0222761171141216,0.0139732119205161,-0.0166196389360316,-0.00808860790679492,-0.0108838780227123,-0.0898215796689735,0.034734004746757,0.0336896371704396
"Golph3",0.00465907436824967,0.0180507864034411,0.0200195534120024,0.0191973408039287,-0.00699789067317707,-0.0488489990154786,0.0103196833373995,0.0115463487551939,0,-0.0190274882982767,0.0628054967878297,0.0675608991452335,-0.0279233127482199,0.0514336389406542,0.0235879181912805,-0.00720870323563929,0.0262428403360426,-0.00592327810129897,0.0683120494955693,0.0424433655379685,0.00421053018184359,0.00405224669086216,-0.0107493181177208,0.063045127216338,0.018923240691842,0.0214172103512829,0.033836406014123,-0.0102982413217188,-0.0233449220904136,-0.0695544524200596,0.0516407909163711,0.0222272909025656
"H3f3a",-0.000549375335826199,0.00175240533328503,-0.00026537868601134,-0.000294194151608583,-0.000241239432939487,0.00892672045944972,-0.000156171567351641,-0.00685513291128322,-0.0190274882982767,0,-0.0197528536926666,0.00589237706352803,0.00931675423618423,0.00106202385560344,-0.0200175637875258,0.00467967843838883,-0.022957948383679,0.027445093088593,-0.0206582824588918,0.0105311881990888,-5.57920473669743e-05,-5.63761723245861e-05,0.00163143080057045,0.00555040726040886,-0.00313652235696967,0.0053393614373745,-0.0204180663111211,0.00590139737550602,-0.0171484654152134,-0.00905612841173913,-0.0253935764777055,-0.0130370225342421
"Hes1",-0.0327594918699172,0.0330836592329191,-0.0283794602588845,-0.00567046135963326,0.0147637790349429,-0.436195630054823,-0.015463000715162,0.0993703514085298,0.0628054967878297,-0.0197528536926666,0,0.517011267716078,-0.294375451014622,0.0492965537927498,-0.137717715992388,-0.0960784268628878,0.303411793742215,-0.301315302258909,0.432805352354974,0.37842316427008,0.00377481715520387,0.00370609868608329,0.266751883051111,0.422795962674744,0.0560370015019397,0.0708247861524493,0.0403001265093426,0.0434680513230088,-0.13990664520668,-0.577659315567037,0.246227478827635,0.0548330933797064
"Hes5",-0.0726588037677036,-0.0101718301926444,-0.0534410963810001,0.0152871875884015,0.0129995879353218,-0.333679358479366,0.00821296797967845,0.104091485069666,0.0675608991452335,0.00589237706352803,0.517011267716078,0,-0.185631573199554,-0.0106778649770441,-0.119856290457845,-0.0948501971879803,0.257052855359289,-0.242841446423749,0.429520409130395,0.465188495601531,0.00332848353507108,0.003267186976958,0.272045584345629,0.465455006935498,0.0568516745012408,0.0800464305971806,0.0165704670206917,0.0347145370722524,-0.116625792892252,-0.47254835324194,0.241894794640232,0.060881662331699
"Map2",0.0395142714156067,-0.010663157892225,0.000742212597163875,-0.00053080386877384,0.00647000000569407,0.275916442539957,-0.000436192554891974,-0.0304356398357057,-0.0279233127482199,0.00931675423618423,-0.294375451014622,-0.185631573199554,0,0.0290340847249112,0.150189608908102,0.105577690997089,-0.115611488217605,0.194769481575259,-0.180471545274746,-0.15789798433473,0.0198760814856996,-0.0102594261335551,-0.0701032368529781,-0.117242403783377,-0.0181080693542754,0.00386516908964897,0.0179742048472128,-0.0034447571231175,0.126840715594743,0.352415893240803,-0.137456876554257,-0.0147064359851791
"Mtmr12",0.00738984171776767,0.00841393933909948,0.00288423280423486,0.00275026011081858,0.0023523719744437,-0.0264956403678165,0.0014671056302764,0.0374543478930294,0.0514336389406542,0.00106202385560344,0.0492965537927498,-0.0106778649770441,0.0290340847249112,0,0.00646115724631295,-0.0169838618185818,0.0133655378637872,0.0271670816748147,-0.00786761274703105,-0.0138567996614942,0.000607965117263424,0.000576732351379745,0.027123869282009,0.0192348684786556,0.0296792000969349,0.0396015623414828,-0.0123627478717945,-0.027033465911295,0.0115196918656112,-0.0277947586582469,0.0452072276831886,0.0159906766317963
"Nefl",0.0314876022470336,0.0319050367463969,0.0170308021976657,-0.00650149204456366,0.0140864293640846,0.174867460276914,0.00887043858684837,0.0293302866044713,0.0235879181912805,-0.0200175637875258,-0.137717715992388,-0.119856290457845,0.150189608908102,0.00646115724631295,0,0.211134212886736,-0.10471716819606,0.130323352009817,-0.112792276550287,-0.172103002232717,0.003611027984371,-0.0263200897099147,-0.0588754533330579,-0.117978821954907,0.054772986675365,0.00849796132406881,0.0212171588789901,0.000183868806465571,0.0915404314356156,0.162674089349464,-0.0320506245300039,0.0994915628729423
"Nefm",0.00824737601793965,0.043240362832594,0.0125426294980954,-0.010898426678716,0.0103040906602102,0.124441917142929,0.00646226930659218,0.0406921813631858,-0.00720870323563929,0.00467967843838883,-0.0960784268628878,-0.0948501971879803,0.105577690997089,-0.0169838618185818,0.211134212886736,0,-0.101756102065785,0.0544861875983028,-0.0942543157258207,-0.136579848339937,0.00265319668058052,0.00255647623892729,-0.0515564423445824,-0.0969829826946367,-0.00707643260600723,0.0123179224541205,-0.00743198804222123,0.0445748750787236,0.0155404150097711,0.13890720390609,-0.086055570971078,0.0343572665501407
"Nes",-0.0221127537078095,0.014193234253197,-0.0143745121516366,0.00821700305096531,0.00701936004782998,-0.209833928886279,0.00439526882467096,0.00356236452866824,0.0262428403360426,-0.022957948383679,0.303411793742215,0.257052855359289,-0.115611488217605,0.0133655378637872,-0.10471716819606,-0.101756102065785,0,-0.152607067952541,0.22232915273041,0.241858120980978,0.00181147981844157,0.00174198068733174,0.135483279765315,0.276875670078712,0.023914660217108,0.0749512139057135,0.014999261096151,0.0454774741490386,-0.0666901003348608,-0.290552888127064,0.129244773023992,0.00965359384271588
"Neurod1",0.0572364113988081,-0.0190557263888047,0.0315770977619747,-0.00372351218334321,-0.0126742841906166,0.332734611876103,0.00953839168469414,-0.0282142486703576,-0.00592327810129897,0.027445093088593,-0.301315302258909,-0.242841446423749,0.194769481575259,0.0271670816748147,0.130323352009817,0.0544861875983028,-0.152607067952541,0,-0.173676848598809,-0.188205285815851,0.0139282468184685,-0.0160925603925765,-0.145078949376514,-0.181644137936452,-0.0286326194807207,-0.00476793126825555,0.0188901819422685,-0.066498091035367,0.0315022651900661,0.347916327772097,0.00609959160786279,-0.0373316219811735
"Notch1",-0.0218350306320219,0.00174401530460231,0.0151712602605042,0.0147112206422703,0.0125466531861504,-0.259414699862273,0.00789586925800824,0.0797076657122212,0.0683120494955693,-0.0206582824588918,0.432805352354974,0.429520409130395,-0.180471545274746,-0.00786761274703105,-0.112792276550287,-0.0942543157258207,0.22232915273041,-0.173676848598809,0,0.404539908735658,0.00322029451457065,0.00312713859580837,0.232295965409357,0.397566961022091,0.0416210021262083,0.0622403837495281,0.0252369652549124,0.0390472766221581,-0.0775368907179529,-0.390446932622171,0.214442535634053,0.0373831862451371
"Pax6",-0.0124669524052762,-0.028886261799835,-0.0606538400467103,0.0253572553417098,0.0230006230815698,-0.342081505421549,-0.0104987107822582,0.0566667335871837,0.0424433655379685,0.0105311881990888,0.378423164270079,0.465188495601531,-0.15789798433473,-0.0138567996614942,-0.172103002232717,-0.136579848339937,0.241858120980978,-0.18820528581585,0.404539908735658,0,0.00584047519901856,0.00571583393796775,0.252951252952613,0.454914287400426,0.0712414879772033,0.0695980856927962,0.0175469950183687,0.0462550304563055,0.000116125401394686,-0.387610239621118,0.238546043293738,0.0469305748013325
"Ppia",-0.00031482729711193,0.00100229873619088,-0.000151114354305393,-0.000166819499807233,-0.000136495092808969,-0.0101599168050242,-8.72581248366649e-05,-0.00387008984384213,0.00421053018184359,-5.57920473669743e-05,0.00377481715520387,0.00332848353507108,0.0198760814856996,0.000607965117263424,0.003611027984371,0.00265319668058052,0.00181147981844157,0.0139282468184685,0.00322029451457065,0.00584047519901856,0,-2.71092766933799e-05,0.000933424584736415,0.00313825411825565,-0.00179487133215693,0.00301982165576823,0.00336438518728162,0.00333090754458989,0.00534623370463513,-0.00506196252040945,-0.0130702183673365,0.0077786883218019
"Rpl18",-0.000330340150475167,0.000956162860104912,-0.000159877813045008,-0.000182037097189343,-0.000146743008403785,-0.0104386996606243,-9.25942610772289e-05,-0.00407405239529761,0.00405224669086216,-5.63761723245861e-05,0.00370609868608329,0.003267186976958,-0.0102594261335551,0.000576732351379745,-0.0263200897099147,0.00255647623892729,0.00174198068733174,-0.0160925603925765,0.00312713859580837,0.00571583393796775,-2.71092766933799e-05,0,0.000893902267378294,0.00305498241182831,-0.00191612039425502,0.0028999639024365,0.00323338361355054,0.00319786579412007,-0.0246310004597064,-0.00516872352912681,-0.0132809338341834,-0.0222948547460071
"Sox1",-0.03263781425645,-0.00730086898601566,0.0044068922448785,0.00423033984548526,0.00361303712702347,-0.162602147300949,0.00225879723498949,0.042192154192194,-0.0107493181177208,0.00163143080057045,0.266751883051111,0.272045584345629,-0.0701032368529781,0.027123869282009,-0.0588754533330579,-0.0515564423445824,0.135483279765315,-0.145078949376514,0.232295965409357,0.252951252952613,0.000933424584736415,0.000893902267378294,0,0.281247143457075,0.0368094439292682,0.0573964867931923,0.0522750904796499,0.00968040872930792,-0.051898731610182,-0.251224525879174,0.0978185744725444,0.0410541163996869
"Sox2",-0.0577748398714939,-0.0121629230422282,-0.0312309508509912,-0.00863707968149667,0.0122301216617725,-0.245547536199976,0.00770238023675855,0.072223282740061,0.063045127216338,0.00555040726040886,0.422795962674744,0.465455006935498,-0.117242403783377,0.0192348684786556,-0.117978821954907,-0.0969829826946367,0.276875670078712,-0.181644137936452,0.397566961022091,0.454914287400426,0.00313825411825565,0.00305498241182831,0.281247143457075,0,0.0622565504346442,0.102581441963233,0.0530306137788512,0.0415804287572097,-0.0620542727800058,-0.365073355760698,0.186685966870184,0.0836800462611071
"Sub1",0.00486569641022543,-0.0235705894435752,-0.00792921371385832,-0.00853161301572521,-0.00708270870688391,-0.0720320739818548,0.0200444498558602,0.0222761171141216,0.018923240691842,-0.00313652235696967,0.0560370015019397,0.0568516745012408,-0.0181080693542754,0.0296792000969349,0.0547729866753649,-0.00707643260600723,0.023914660217108,-0.0286326194807207,0.0416210021262083,0.0712414879772033,-0.00179487133215693,-0.00191612039425502,0.0368094439292682,0.0622565504346442,0,0.0245535425126068,0.00958297979356926,0.00192021492017449,0.0304240738512542,-0.0684782007885942,0.00428511543625517,0.0294542974638295
"Taf1",0.0288916624626956,-0.0342932268427986,0.0143248695517648,-0.0322394950634355,-0.011602963560997,0.00574709917789948,0.00735206874825371,0.0139732119205161,0.0214172103512829,0.0053393614373745,0.0708247861524494,0.0800464305971806,0.00386516908964897,0.0396015623414828,0.00849796132406881,0.0123179224541205,0.0749512139057135,-0.00476793126825555,0.0622403837495281,0.0695980856927962,0.00301982165576823,0.0028999639024365,0.0573964867931923,0.102581441963233,0.0245535425126068,0,0.0373406888293443,0.0295349345045046,0.0126413527781135,-0.0592089650822219,-0.00964058723204794,0.0298129482613472
"Taf2",-0.00250576906247497,-0.0253530589218573,0.0159678535549285,0.0152955728581807,0.0130848301345589,-0.0101900444526954,0.00820665235131842,-0.0166196389360316,0.033836406014123,-0.0204180663111211,0.0403001265093426,0.0165704670206917,0.0179742048472128,-0.0123627478717945,0.0212171588789901,-0.00743198804222123,0.014999261096151,0.0188901819422685,0.0252369652549124,0.0175469950183687,0.00336438518728162,0.00323338361355054,0.0522750904796499,0.0530306137788512,0.00958297979356926,0.0373406888293443,0,0.0134658000417589,0.021638291017801,-0.0330606928139406,-0.00846844962393042,0.00838685409553099
"Tars",-0.0193843706139279,-0.0371038359699908,0.0158186269320367,-0.00785988951360155,0.0129501910832979,-0.0509620476459466,-0.0166156201328305,-0.00808860790679492,-0.0102982413217188,0.00590139737550602,0.0434680513230088,0.0347145370722524,-0.0034447571231175,-0.027033465911295,0.000183868806465571,0.0445748750787236,0.0454774741490386,-0.066498091035367,0.0390472766221581,0.0462550304563055,0.00333090754458989,0.00319786579412007,0.00968040872930792,0.0415804287572097,0.00192021492017449,0.0295349345045046,0.0134658000417588,0,-0.0171676752676185,-0.0552156636095239,-0.0116902037164064,0.0150739464410088
"Tbr1",0.0259547099733467,0.0162421546430884,0.00214338450321242,-0.0211725450515648,-0.0260648725577788,0.0943773580988743,-0.0367534542274518,-0.0108838780227123,-0.0233449220904135,-0.0171484654152134,-0.13990664520668,-0.116625792892252,0.126840715594743,0.0115196918656112,0.0915404314356156,0.0155404150097711,-0.0666901003348608,0.0315022651900661,-0.077536890717953,0.000116125401394686,0.00534623370463513,-0.0246310004597064,-0.051898731610182,-0.0620542727800058,0.0304240738512542,0.0126413527781135,0.021638291017801,-0.0171676752676185,0,0.165504687825694,-0.137303405324078,0.0799895547361838
"Tubb3",0.141991923688887,-0.00691209923000663,0.0460629072384028,-0.000647349437485875,0.00348302133798507,0.468055919509579,-0.0128679944901916,-0.0898215796689735,-0.0695544524200596,-0.00905612841173913,-0.577659315567037,-0.47254835324194,0.352415893240803,-0.0277947586582469,0.162674089349464,0.13890720390609,-0.290552888127064,0.347916327772097,-0.39044693262217,-0.387610239621118,-0.00506196252040945,-0.00516872352912681,-0.251224525879174,-0.365073355760698,-0.0684782007885942,-0.0592089650822219,-0.0330606928139406,-0.0552156636095239,0.165504687825694,0,-0.29357330668261,-0.0476624222738092
"Vim",-0.0369239481855775,0.00362288678184977,-0.0104815422035881,0.0234313110317459,-0.00376433142563142,-0.19463532003451,-0.00799685211193285,0.034734004746757,0.0516407909163711,-0.0253935764777055,0.246227478827635,0.241894794640232,-0.137456876554257,0.0452072276831886,-0.0320506245300039,-0.086055570971078,0.129244773023992,0.00609959160786279,0.214442535634053,0.238546043293738,-0.0130702183673365,-0.0132809338341834,0.0978185744725444,0.186685966870184,0.00428511543625517,-0.00964058723204794,-0.00846844962393042,-0.0116902037164064,-0.137303405324078,-0.29357330668261,0,-0.0119615670983114
"Zfr",-0.0337335375050788,0.0277579399371716,-0.00780195380042316,-0.00903215604047274,0.00638486202653049,0.00578084578469962,-0.0058590447870729,0.0336896371704396,0.0222272909025656,-0.0130370225342421,0.0548330933797064,0.060881662331699,-0.014706435985179,0.0159906766317963,0.0994915628729423,0.0343572665501407,0.00965359384271588,-0.0373316219811735,0.0373831862451371,0.0469305748013325,0.0077786883218019,-0.0222948547460071,0.0410541163996869,0.0836800462611071,0.0294542974638295,0.0298129482613472,0.00838685409553099,0.0150739464410088,0.0799895547361838,-0.0476624222738092,-0.0119615670983114,0
